client_id,ndc,lottery_winner,book_date,cottage,arrival,departure,days,weeks,extra_days,persons,total_days_person,season,nights_w,dayprice_w,weekprice_w,nights_d,dayprice_d,painting_week,discount,discount_euro,early_booking_discount,cottage_total,extra_bed,cleaning,phone,internet,other_charges,final_total,date_deposit_25_perct,deposit_25_perct,date_rest,rest_75_perct,arrival_week_day,departure_week_day
98,0.0,0.0,2011-07-25,Casa Marcanta,2011-08-09,2011-08-23,14.0,0.0,0.0,1.0,14.0,high,0.0,225.0,1575.0,1.0,0.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,225.0,2000-01-01,0.0,2011-07-25,225.0,1.0,1.0
66,0.0,0.0,2011-06-30,Casa Boa,2011-07-22,2011-08-02,11.0,0.0,0.0,2.0,22.0,high,0.0,103.57142857142857,725.0,4.0,117.0,0.0,0.0,44.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,424.0,2000-01-01,0.0,2011-06-30,424.0,4.0,1.0
99,0.0,0.0,2011-07-05,Casa Marcanta,2011-08-01,2011-08-08,7.0,0.0,0.0,6.0,42.0,high,7.0,103.57142857142857,725.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,0.0,60.0,0.0,21.0,100.0,785.0,2000-01-01,0.0,2011-07-05,785.0,0.0,0.0
66,0.0,0.0,2011-08-15,Casa Boa,2011-10-06,2011-10-13,7.0,0.0,0.0,3.0,21.0,high,7.0,85.28571428571429,597.0,0.0,0.0,285.0,0.0,0.0,0.0,882.0,0.0,60.0,0.0,0.0,0.0,942.0,2011-08-15,235.5,2011-09-07,706.5,3.0,3.0
75,0.0,0.0,2011-08-28,Casarão Novo,2011-08-27,2011-08-28,1.0,0.0,0.0,5.0,5.0,high,0.0,0.0,0.0,1.0,183.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,17.25,45.0,0.0,245.25,2000-01-01,0.0,2011-08-28,245.25,5.0,6.0
1,0.0,0.0,2011-10-03,Casa Boa,2011-12-21,2012-01-04,14.0,0.0,0.0,2.0,28.0,high,14.0,103.57142857142857,725.0,0.0,0.0,0.0,0.0,0.0,145.0,1305.0,0.0,60.0,0.0,0.0,0.0,1365.0,2011-10-03,341.25,2012-11-22,1023.75,2.0,2.0
80,0.0,0.0,2011-10-26,Casa Marcanta,2011-10-30,2011-11-07,8.0,0.0,0.0,1.0,8.0,low,7.0,70.28571428571429,492.00000000000006,1.0,75.0,0.0,0.0,0.0,85.05,481.95,0.0,60.0,0.0,0.0,350.0,891.95,2000-01-01,0.0,2011-10-26,891.95,6.0,0.0
103,0.0,0.0,2012-11-21,Casa Boa,2012-01-25,2012-02-15,21.0,0.0,0.0,3.0,63.0,low,21.0,70.28571428571429,492.00000000000006,0.0,0.0,0.0,0.0,321.0000000000001,0.0,1155.0,0.0,60.0,4.35,0.0,0.0,1155.0,2012-11-21,288.75,2011-12-22,866.25,2.0,2.0
104,0.0,0.0,2011-12-22,Casa Boa,2012-08-28,2012-09-11,14.0,0.0,0.0,3.0,42.0,high/mid,4.0,123.0,861.0,10.0,95.0,0.0,0.0,490.0,0.0,952.0,0.0,60.0,0.0,0.0,0.0,952.0,2000-01-01,0.0,2011-12-22,952.0,1.0,1.0
101,0.0,0.0,2011-10-03,Casa Valorosa,2012-07-14,2012-08-04,21.0,0.0,0.0,5.0,105.0,high,21.0,108.85714285714286,762.0,0.0,0.0,0.0,0.0,0.0,111.0,2175.0,0.0,60.0,0.0,0.0,0.0,2235.0,2011-10-03,558.75,2012-06-16,1676.25,5.0,5.0
105,0.0,0.0,2011-12-14,Casa Boa,2012-05-21,2012-06-04,14.0,0.0,0.0,2.0,28.0,mid,14.0,85.28571428571429,597.0,0.0,0.0,0.0,0.0,298.5,0.0,895.5,0.0,60.0,0.0,0.0,0.0,955.5,2011-12-14,238.875,2012-04-23,716.625,0.0,0.0
67,0.0,0.0,2011-12-14,Casa Boa,2012-03-29,2012-04-17,19.0,0.0,0.0,3.0,57.0,mid,14.0,85.28571428571429,597.0,5.0,95.0,0.0,0.0,0.0,83.45,1585.55,0.0,60.0,0.0,57.0,0.0,1645.55,2011-12-14,411.3875,2012-03-01,1234.1625,3.0,1.0
66,0.0,0.0,2011-12-19,Casa Boa,2012-04-19,2012-04-26,7.0,0.0,0.0,2.0,14.0,mid,7.0,85.28571428571429,597.0,0.0,0.0,285.0,0.0,0.0,44.1,837.9,0.0,60.0,0.0,0.0,0.0,897.9,2011-12-19,224.475,2012-03-22,673.425,3.0,3.0
